Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
N11_U1_RNA_S3_L001_R2	N11_U1_RNA_S3_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44600843.0	5.2 Gbp	0.0	26-141	40.0	49.16623616574889	118.00639972208597	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N12_N1_RNA_S4_L001_R1	N12_N1_RNA_S4_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37209538.0	4.4 Gbp	0.0	26-141	40.0	45.632453706931926	120.00022561419601	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N12_N1_RNA_S4_L001_R2	N12_N1_RNA_S4_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36713625.0	4.4 Gbp	0.0	26-141	40.0	50.493908641908014	120.15750041027003	141	pass	pass	warn	pass	pass	fail	pass	warn	warn	warn	pass
N12_U2_RNA_S5_L001_R1	N12_U2_RNA_S5_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44745435.0	5.2 Gbp	0.0	26-141	40.0	44.78129348124787	116.64486484487189	137	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N12_U2_RNA_S5_L001_R2	N12_U2_RNA_S5_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44396864.0	5.2 Gbp	0.0	26-141	40.0	49.109918202479896	117.28139694731591	137	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N21_N1_RNA_S6_L001_R1	N21_N1_RNA_S6_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42030100.0	5 Gbp	0.0	26-141	39.0	46.935361317816586	119.7026850281108	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N21_N1_RNA_S6_L001_R2	N21_N1_RNA_S6_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41221567.0	4.9 Gbp	0.0	26-141	39.0	51.219032823335795	120.09304270262214	141	pass	pass	warn	pass	pass	fail	pass	warn	warn	warn	pass
N21_U2_RNA_S7_L001_R1	N21_U2_RNA_S7_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40109019.0	4.7 Gbp	0.0	26-141	39.0	45.69378062776948	118.59187760239162	141	pass	pass	warn	pass	pass	fail	pass	warn	fail	warn	pass
N21_U2_RNA_S7_L001_R2	N21_U2_RNA_S7_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39283639.0	4.6 Gbp	0.0	26-141	39.0	50.4957168118025	118.96477783028196	141	pass	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
N22_N2_RNA_S8_L001_R1	N22_N2_RNA_S8_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47274242.0	5.7 Gbp	0.0	26-141	40.0	43.71317606350956	121.17975456909494	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N22_N2_RNA_S8_L001_R2	N22_N2_RNA_S8_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46556520.0	5.6 Gbp	0.0	26-141	40.0	48.477853390897536	121.70795269921378	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N22_U1_RNA_S9_L001_R1	N22_U1_RNA_S9_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36080853.0	4.2 Gbp	0.0	26-141	40.0	47.74381317089715	118.50849540613687	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N22_U1_RNA_S9_L001_R2	N22_U1_RNA_S9_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35485475.0	4.2 Gbp	0.0	26-141	40.0	51.3167311191791	119.03351131695433	141	pass	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
N33_N1_RNA_S10_L001_R1	N33_N1_RNA_S10_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34174423.0	4 Gbp	0.0	26-141	40.0	48.923045547215395	119.3334590023656	141	pass	pass	warn	pass	pass	fail	pass	warn	fail	warn	pass
N33_N1_RNA_S10_L001_R2	N33_N1_RNA_S10_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33697438.0	4 Gbp	0.0	26-141	40.0	53.88408298974223	119.46353696088111	141	pass	pass	warn	pass	pass	fail	pass	warn	warn	warn	pass
N33_U1_RNA_S11_L001_R1	N33_U1_RNA_S11_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27227867.0	3.3 Gbp	0.0	26-141	39.0	49.99301420705051	124.47033236206127	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N33_U1_RNA_S11_L001_R2	N33_U1_RNA_S11_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26780378.0	3.3 Gbp	0.0	26-141	39.0	53.91065246650818	124.77371898932869	141	pass	pass	warn	pass	pass	fail	pass	warn	warn	warn	pass
N34_N1_RNA_S12_L001_R1	N34_N1_RNA_S12_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34638872.0	4.2 Gbp	0.0	26-141	39.0	46.866642026763984	122.80861807509206	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N34_N1_RNA_S12_L001_R2	N34_N1_RNA_S12_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34052950.0	4.1 Gbp	0.0	26-141	40.0	51.15090049682494	123.20023669021333	141	pass	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
N34_U2_RNA_S13_L001_R1	N34_U2_RNA_S13_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47542536.0	5.7 Gbp	0.0	26-141	39.0	43.529272304416885	120.12052533335621	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N34_U2_RNA_S13_L001_R2	N34_U2_RNA_S13_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47033228.0	5.6 Gbp	0.0	26-141	40.0	48.42568352322822	120.54602261192873	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N43_N2_RNA_S14_L001_R1	N43_N2_RNA_S14_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40312530.0	4.8 Gbp	0.0	26-141	39.0	47.557675409558605	120.95661311755923	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N43_N2_RNA_S14_L001_R2	N43_N2_RNA_S14_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39804919.0	4.8 Gbp	0.0	26-141	40.0	51.94400866035044	121.34219491817079	141	pass	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
N43_U1_RNA_S15_L001_R1	N43_U1_RNA_S15_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39160939.0	4.8 Gbp	0.0	26-141	39.0	45.785672527746314	122.88906489193224	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N43_U1_RNA_S15_L001_R2	N43_U1_RNA_S15_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38449683.0	4.7 Gbp	0.0	26-141	39.0	50.29040454083523	123.26738477921911	141	pass	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
N44_N1_RNA_S16_L001_R1	N44_N1_RNA_S16_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32812077.0	4 Gbp	0.0	26-141	38.0	46.79021713416767	122.89409094706195	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N44_N1_RNA_S16_L001_R2	N44_N1_RNA_S16_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32004352.0	3.9 Gbp	0.0	26-141	39.0	52.658104845572886	122.85028433008111	141	pass	pass	warn	pass	pass	fail	pass	warn	warn	warn	pass
N44_U1_RNA_S17_L001_R1	N44_U1_RNA_S17_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35880365.0	4.4 Gbp	0.0	26-141	40.0	46.98733157463152	122.96939532248348	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N44_U1_RNA_S17_L001_R2	N44_U1_RNA_S17_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35355901.0	4.3 Gbp	0.0	26-141	40.0	51.02657867219277	123.3551074543398	141	pass	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
N55_N2_RNA_S18_L001_R1	N55_N2_RNA_S18_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34744324.0	4.1 Gbp	0.0	26-141	38.0	45.1858645479988	120.55700456281723	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N55_N2_RNA_S18_L001_R2	N55_N2_RNA_S18_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34094666.0	4.1 Gbp	0.0	26-141	39.0	49.231906386812724	121.45807250318862	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N55_U1_RNA_S19_L001_R1	N55_U1_RNA_S19_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32508793.0	3.8 Gbp	0.0	26-141	38.0	45.557617377825785	119.04978370005924	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N55_U1_RNA_S19_L001_R2	N55_U1_RNA_S19_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31452218.0	3.7 Gbp	0.0	26-141	38.0	48.55648600446459	120.10930090844468	141	pass	pass	warn	pass	pass	fail	pass	warn	fail	warn	pass
N56_N2_RNA_S20_L001_R1	N56_N2_RNA_S20_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36422487.0	4.3 Gbp	0.0	26-141	38.0	46.911995513273794	119.00699180701197	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N56_N2_RNA_S20_L001_R2	N56_N2_RNA_S20_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35420357.0	4.2 Gbp	0.0	26-141	39.0	49.80757004599768	119.81656246434784	141	pass	pass	warn	pass	pass	fail	pass	warn	fail	warn	pass
N56_U2_RNA_S21_L001_R1	N56_U2_RNA_S21_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37014340.0	4.5 Gbp	0.0	26-141	37.0	43.281364676743465	121.9550394252606	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N56_U2_RNA_S21_L001_R2	N56_U2_RNA_S21_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36098622.0	4.4 Gbp	0.0	26-141	38.0	48.0557624471241	122.68470558239038	141	pass	pass	warn	pass	pass	fail	pass	warn	fail	warn	pass
N65_N1_RNA_S22_L001_R1	N65_N1_RNA_S22_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32718449.0	3.9 Gbp	0.0	26-141	38.0	48.59983473165357	121.71947090156993	141	pass	pass	warn	pass	pass	fail	pass	warn	fail	warn	pass
N65_N1_RNA_S22_L001_R2	N65_N1_RNA_S22_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31758862.0	3.8 Gbp	0.0	26-141	39.0	53.82216424296329	121.76889200249052	141	pass	pass	warn	pass	pass	fail	pass	warn	warn	warn	pass
N65_U2_RNA_S23_L001_R1	N65_U2_RNA_S23_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35708504.0	4.3 Gbp	0.0	26-141	39.0	47.76128238945028	120.72074901261615	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N65_U2_RNA_S23_L001_R2	N65_U2_RNA_S23_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35100835.0	4.2 Gbp	0.0	26-141	40.0	52.88703928658528	120.72588700525215	141	pass	pass	warn	pass	pass	fail	pass	warn	warn	warn	pass
N66_N2_RNA_S24_L001_R1	N66_N2_RNA_S24_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28304898.0	3.4 Gbp	0.0	26-141	39.0	49.68389468493806	122.55760441178766	141	pass	pass	warn	pass	pass	fail	pass	warn	fail	warn	pass
N66_N2_RNA_S24_L001_R2	N66_N2_RNA_S24_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27720623.0	3.4 Gbp	0.0	26-141	39.0	53.85577808959427	122.89255075544298	141	pass	pass	warn	pass	pass	fail	pass	warn	warn	warn	pass
N66_U2_RNA_S25_L001_R1	N66_U2_RNA_S25_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31551707.0	3.7 Gbp	0.0	26-141	38.0	49.50948200485143	118.40954351534768	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N66_U2_RNA_S25_L001_R2	N66_U2_RNA_S25_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30708683.0	3.6 Gbp	0.0	26-141	38.0	52.273119821516154	119.02936938064065	141	pass	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
N77_N1_RNA_S26_L001_R1	N77_N1_RNA_S26_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34916441.0	4.1 Gbp	0.0	26-141	39.0	46.88402730229417	118.11362128803448	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N77_N1_RNA_S26_L001_R2	N77_N1_RNA_S26_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34285670.0	4 Gbp	0.0	26-141	40.0	51.1943410752495	118.43780354882958	141	pass	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
N77_U1_RNA_S27_L001_R1	N77_U1_RNA_S27_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33336789.0	3.9 Gbp	0.0	26-141	37.0	44.84409479871818	119.97366737990272	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N77_U1_RNA_S27_L001_R2	N77_U1_RNA_S27_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32211857.0	3.8 Gbp	0.0	26-141	38.0	48.809030561671584	120.68319178245451	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N78_N2_RNA_S28_L001_R1	N78_N2_RNA_S28_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38388028.0	4.5 Gbp	0.0	26-141	38.0	45.24487346923556	117.88706591023639	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N78_N2_RNA_S28_L001_R2	N78_N2_RNA_S28_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37453698.0	4.4 Gbp	0.0	26-141	38.0	48.860196978078555	118.81580424982334	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N78_U2_RNA_S29_L001_R1	N78_U2_RNA_S29_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43058674.0	5.1 Gbp	0.0	26-141	39.0	42.88712030476824	119.2108536598224	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N78_U2_RNA_S29_L001_R2	N78_U2_RNA_S29_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42148042.0	5 Gbp	0.0	26-141	39.0	47.35913553977226	119.74705572325281	141	pass	pass	warn	pass	pass	fail	pass	warn	fail	warn	pass
N87_N1_RNA_S30_L001_R1	N87_N1_RNA_S30_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35647297.0	4.2 Gbp	0.0	26-141	38.0	46.325881871521716	119.85637393488769	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N87_N1_RNA_S30_L001_R2	N87_N1_RNA_S30_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34783649.0	4.1 Gbp	0.0	26-141	39.0	51.22823399629053	119.83341842599665	141	pass	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
N87_U1_RNA_S31_L001_R1	N87_U1_RNA_S31_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32478434.0	3.8 Gbp	0.0	26-141	37.0	45.73940704362787	118.51740739716699	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N87_U1_RNA_S31_L001_R2	N87_U1_RNA_S31_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31329826.0	3.7 Gbp	0.0	26-141	38.0	50.32311594225701	118.77446060504772	141	pass	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
N88_N1_RNA_S32_L001_R1	N88_N1_RNA_S32_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34667172.0	4 Gbp	0.0	26-141	38.0	45.801052685078744	118.26265618089644	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N88_N1_RNA_S32_L001_R2	N88_N1_RNA_S32_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33962292.0	4 Gbp	0.0	26-141	39.0	50.145595747647434	118.75179475519496	141	pass	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
N88_U1_RNA_S33_L001_R1	N88_U1_RNA_S33_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31918005.0	3.7 Gbp	0.0	26-141	39.0	47.11506452731414	118.47754526011259	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N88_U1_RNA_S33_L001_R2	N88_U1_RNA_S33_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31324154.0	3.7 Gbp	0.0	26-141	39.0	51.27433750954683	118.91480702080574	141	pass	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
N910_N2_RNA_S34_L001_R1	N910_N2_RNA_S34_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43852563.0	5.2 Gbp	0.0	26-141	39.0	44.74743922362563	119.07650563092515	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N910_N2_RNA_S34_L001_R2	N910_N2_RNA_S34_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43310110.0	5.1 Gbp	0.0	26-141	40.0	50.00519864319596	119.32419668294538	141	pass	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
N910_U2_RNA_S35_L001_R1	N910_U2_RNA_S35_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39076989.0	4.7 Gbp	0.0	26-141	39.0	45.55991642462687	120.59037867528637	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N910_U2_RNA_S35_L001_R2	N910_U2_RNA_S35_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38627944.0	4.6 Gbp	0.0	26-141	40.0	50.27322648569028	121.04358984262792	141	pass	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
N99_N1_RNA_S36_L001_R1	N99_N1_RNA_S36_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41350071.0	5 Gbp	0.0	26-141	40.0	45.80161653158995	122.80873873227449	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N99_N1_RNA_S36_L001_R2	N99_N1_RNA_S36_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40802471.0	5 Gbp	0.0	26-141	40.0	50.919963353481855	122.94260038809904	141	pass	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
N99_U1_RNA_S37_L001_R1	N99_U1_RNA_S37_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33890872.0	4.1 Gbp	0.0	26-141	39.0	47.519772896666	121.81016504975145	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
N99_U1_RNA_S37_L001_R2	N99_U1_RNA_S37_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33276814.0	4 Gbp	0.0	26-141	39.0	53.95348156977139	121.68749460209743	141	pass	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
U1010_N1_RNA_S80_L001_R1	U1010_N1_RNA_S80_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34341641.0	4.1 Gbp	0.0	26-141	39.0	46.94851471829694	120.02571047784234	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
U1010_N1_RNA_S80_L001_R2	U1010_N1_RNA_S80_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33523217.0	4 Gbp	0.0	26-141	40.0	52.227985769789896	120.14128348720232	141	pass	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
U1010_U1_RNA_S81_L001_R1	U1010_U1_RNA_S81_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35333708.0	4.2 Gbp	0.0	26-141	39.0	47.88371792379773	121.20461240580808	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
U1010_U1_RNA_S81_L001_R2	U1010_U1_RNA_S81_L001_R2_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34748641.0	4.2 Gbp	0.0	26-141	40.0	53.575246599394866	121.19104626278767	141	pass	pass	pass	pass	pass	fail	pass	warn	warn	warn	pass
U109_N2_RNA_S78_L001_R1	U109_N2_RNA_S78_L001_R1_trimmed.fastq.gz_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	43387046.0	5.2 Gbp	0.0	26-141	39.0	45.31329526391723	120.1847620370375	141	pass	pass	pass	pass	pass	fail	pass	warn	fail	warn	pass
